Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame104_player11.jpg,broadcast_frame17_player8.jpg,0.9763
tacticam_frame104_player12.jpg,broadcast_frame98_player4.jpg,0.969
tacticam_frame104_player13.jpg,broadcast_frame46_player7.jpg,0.9406
tacticam_frame104_player14.jpg,broadcast_frame116_player7.jpg,0.9766
tacticam_frame104_player15.jpg,broadcast_frame42_player7.jpg,0.9575
tacticam_frame104_player2.jpg,broadcast_frame70_player3.jpg,0.9475
tacticam_frame104_player3.jpg,broadcast_frame25_player10.jpg,0.9482
tacticam_frame104_player4.jpg,broadcast_frame37_player6.jpg,0.9664
tacticam_frame104_player5.jpg,broadcast_frame120_player4.jpg,0.9535
tacticam_frame104_player6.jpg,broadcast_frame10_player7.jpg,0.9619
tacticam_frame104_player7.jpg,broadcast_frame117_player3.jpg,0.9525
tacticam_frame104_player8.jpg,broadcast_frame95_player1.jpg,0.9482
tacticam_frame104_player9.jpg,broadcast_frame17_player8.jpg,0.9567
tacticam_frame105_player0.jpg,broadcast_frame98_player4.jpg,0.9677
tacticam_frame105_player1.jpg,broadcast_frame25_player10.jpg,0.9489
tacticam_frame105_player10.jpg,broadcast_frame72_player6.jpg,0.9686
tacticam_frame105_player11.jpg,broadcast_frame17_player8.jpg,0.9678
tacticam_frame105_player12.jpg,broadcast_frame95_player1.jpg,0.938
tacticam_frame105_player13.jpg,broadcast_frame113_player5.jpg,0.9524
tacticam_frame105_player14.jpg,broadcast_frame117_player3.jpg,0.9704
tacticam_frame105_player15.jpg,broadcast_frame42_player7.jpg,0.9699
tacticam_frame105_player16.jpg,broadcast_frame116_player7.jpg,0.9527
tacticam_frame105_player2.jpg,broadcast_frame43_player6.jpg,0.969
tacticam_frame105_player3.jpg,broadcast_frame120_player4.jpg,0.9391
tacticam_frame105_player4.jpg,broadcast_frame67_player10.jpg,0.9581
tacticam_frame105_player5.jpg,broadcast_frame99_player4.jpg,0.963
tacticam_frame105_player6.jpg,broadcast_frame42_player7.jpg,0.9516
tacticam_frame105_player7.jpg,broadcast_frame104_player7.jpg,0.9606
tacticam_frame105_player8.jpg,broadcast_frame81_player10.jpg,0.9723
tacticam_frame105_player9.jpg,broadcast_frame33_player8.jpg,0.9557
tacticam_frame106_player0.jpg,broadcast_frame11_player9.jpg,0.9507
tacticam_frame106_player1.jpg,broadcast_frame71_player6.jpg,0.9413
tacticam_frame106_player10.jpg,broadcast_frame112_player6.jpg,0.9597
tacticam_frame106_player11.jpg,broadcast_frame81_player10.jpg,0.9494
tacticam_frame106_player12.jpg,broadcast_frame17_player8.jpg,0.9754
tacticam_frame106_player13.jpg,broadcast_frame116_player7.jpg,0.972
tacticam_frame106_player14.jpg,broadcast_frame13_player3.jpg,0.9504
tacticam_frame106_player15.jpg,broadcast_frame86_player4.jpg,0.9605
tacticam_frame106_player2.jpg,broadcast_frame120_player4.jpg,0.9634
tacticam_frame106_player3.jpg,broadcast_frame11_player3.jpg,0.97
tacticam_frame106_player4.jpg,broadcast_frame39_player9.jpg,0.9503
tacticam_frame106_player5.jpg,broadcast_frame13_player9.jpg,0.9571
tacticam_frame106_player6.jpg,broadcast_frame80_player12.jpg,0.948
tacticam_frame106_player7.jpg,broadcast_frame104_player7.jpg,0.9572
tacticam_frame106_player8.jpg,broadcast_frame42_player7.jpg,0.9525
tacticam_frame106_player9.jpg,broadcast_frame99_player4.jpg,0.9564
tacticam_frame107_player0.jpg,broadcast_frame97_player1.jpg,0.9272
tacticam_frame107_player1.jpg,broadcast_frame70_player3.jpg,0.9594
tacticam_frame107_player10.jpg,broadcast_frame21_player7.jpg,0.9566
tacticam_frame107_player11.jpg,broadcast_frame21_player7.jpg,0.9579
tacticam_frame107_player12.jpg,broadcast_frame116_player7.jpg,0.9663
tacticam_frame107_player13.jpg,broadcast_frame79_player4.jpg,0.9658
tacticam_frame107_player14.jpg,broadcast_frame72_player6.jpg,0.9396
tacticam_frame107_player2.jpg,broadcast_frame120_player4.jpg,0.9566
tacticam_frame107_player3.jpg,broadcast_frame101_player7.jpg,0.9615
tacticam_frame107_player4.jpg,broadcast_frame20_player3.jpg,0.9723
tacticam_frame107_player5.jpg,broadcast_frame72_player6.jpg,0.9567
tacticam_frame107_player6.jpg,broadcast_frame12_player8.jpg,0.9709
tacticam_frame107_player7.jpg,broadcast_frame41_player7.jpg,0.9572
tacticam_frame107_player8.jpg,broadcast_frame82_player9.jpg,0.9482
tacticam_frame107_player9.jpg,broadcast_frame121_player9.jpg,0.9738
tacticam_frame108_player0.jpg,broadcast_frame120_player4.jpg,0.9509
tacticam_frame108_player1.jpg,broadcast_frame120_player4.jpg,0.9481
tacticam_frame108_player10.jpg,broadcast_frame25_player10.jpg,0.9392
tacticam_frame108_player11.jpg,broadcast_frame42_player7.jpg,0.9654
tacticam_frame108_player12.jpg,broadcast_frame95_player5.jpg,0.9435
tacticam_frame108_player13.jpg,broadcast_frame105_player1.jpg,0.947
tacticam_frame108_player14.jpg,broadcast_frame82_player9.jpg,0.9586
tacticam_frame108_player15.jpg,broadcast_frame81_player10.jpg,0.9614
tacticam_frame108_player2.jpg,broadcast_frame68_player8.jpg,0.9545
tacticam_frame108_player3.jpg,broadcast_frame120_player3.jpg,0.9676
tacticam_frame108_player4.jpg,broadcast_frame20_player3.jpg,0.9704
tacticam_frame108_player5.jpg,broadcast_frame48_player8.jpg,0.9679
tacticam_frame108_player6.jpg,broadcast_frame21_player7.jpg,0.9424
tacticam_frame108_player7.jpg,broadcast_frame98_player4.jpg,0.9713
tacticam_frame108_player8.jpg,broadcast_frame12_player8.jpg,0.9607
tacticam_frame108_player9.jpg,broadcast_frame17_player8.jpg,0.9734
tacticam_frame109_player0.jpg,broadcast_frame90_player5.jpg,0.9662
tacticam_frame109_player1.jpg,broadcast_frame79_player4.jpg,0.959
